"UTC timestamp","us count","frequency","RF chain","RX chain","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"","2021-04-30 01:11:36.730Z",  42157188, 868780000,1, 5, 32,"LORA",125000,"SF8"   ,"4/5",-22,+10.8,"00000017-0000FFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF"
"","2021-04-30 01:12:36.728Z", 102156668, 868780000,1, 5, 32,"LORA",125000,"SF8"   ,"4/5",-22,+10.5,"00000018-0000FFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF"
"","2021-04-30 01:13:36.727Z", 162156140, 868780000,1, 5, 32,"LORA",125000,"SF8"   ,"4/5",-25,+10.5,"00000019-0000FFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF"
