"UTC timestamp","us count","frequency","RF chain","RX chain","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"","2021-04-30 01:22:36.171Z",  21347764, 868600000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-24,+11.5,"00000008-0000FFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF"
"","2021-04-30 01:23:36.172Z",  81347236, 868600000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-23, +9.2,"00000009-0000FFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF"
"","2021-04-30 01:24:36.170Z", 141346716, 868600000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-25,+10.8,"0000000A-0000FFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF"
