"UTC timestamp","us count","frequency","RF chain","RX chain","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"","2021-04-30 01:25:36.169Z",   7452220, 868600000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-24,+11.5,"0000000B-0000FFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF"
"","2021-04-30 01:28:29.920Z", 181202844, 868600000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-30,+11.0,"00000000-0000FFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF"
"","2021-04-30 01:29:29.920Z", 241202372, 868600000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-31,+11.5,"00000001-0000FFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF"
"","2021-04-30 01:30:29.921Z", 301201844, 868600000,1, 0, 32,"LORA",125000,"SF8"   ,"4/5",-33,+11.2,"00000002-0000FFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF-FFFFFFFF"
